"Id","Date","Counter Party","Details","Amount",
"16","2020-01-13","************4500EUR12020-01-09Dominos GroningenGroningenNLDLTUZACH200132NDO","Luminor Bank AS","-10.45",
"17","2020-01-16","************4500EUR12020-01-14LIDL 449 GRONINGENGRONINGENNLDLTUZACH200161IKU","Luminor Bank AS","-9.80",
"18","2020-01-20","************4500EUR12020-01-17LIDL 449 GRONINGENGRONINGENNLDLTUZACH200202JVU","Luminor Bank AS","-16.85",
"19","2020-01-21","************4500EUR12020-01-19Dominos GroningenGroningenNLDLTUZACH2002124K3","Luminor Bank AS","-11.45",
"20","2020-01-24","Vilniaus universitetas: Stipendija","Vilniaus universitetas","58.50",
"21","2020-01-24","************4500EUR12020-01-21LIDL 449 GRONINGENGRONINGENNLDLTUZACH200241DI2","Luminor Bank AS","-6.73",
"22","2020-01-02","************4500EUR12019-12-31LIDL 449 GRONINGENGRONINGENNLDLTUZACH200022BPR","Luminor Bank AS Lietuvos skyrius","-7.59",
"23","2020-01-05","2019-12-31LTUZACH200055TT4","Luminor Bank AS Lietuvos skyrius","-1.00",
"24","2020-01-06","************4500EUR12020-01-03LIDL 449 GRONINGENGRONINGENNLDLTUZACH200062U8Z","Luminor Bank AS Lietuvos skyrius","-16.48",
"25","2020-01-10","************4500EUR12020-01-08LIDL 449 GRONINGENGRONINGENNLDLTUZACH200101HCB","Luminor Bank AS Lietuvos skyrius","-13.43",
"26","2020-01-13","************4500EUR12020-01-09Dominos GroningenGroningenNLDLTUZACH200132NDO","Luminor Bank AS Lietuvos skyrius","-10.45",
"27","2020-01-16","************4500EUR12020-01-14LIDL 449 GRONINGENGRONINGENNLDLTUZACH200161IKU","Luminor Bank AS Lietuvos skyrius","-9.80",
"28","2020-01-20","************4500EUR12020-01-17LIDL 449 GRONINGENGRONINGENNLDLTUZACH200202JVU","Luminor Bank AS Lietuvos skyrius","-16.85",
"29","2020-01-21","************4500EUR12020-01-19Dominos GroningenGroningenNLDLTUZACH2002124K3","Luminor Bank AS Lietuvos skyrius","-11.45",
"30","2020-01-24","Vilniaus universitetas: Stipendija","Vilniaus universitetas","58.50",
"31","2020-01-24","************4500EUR12020-01-21LIDL 449 GRONINGENGRONINGENNLDLTUZACH200241DI2","Luminor Bank AS Lietuvos skyrius","-6.73",
"32","2020-08-17","H856/HB VIRSULISKIU 42>VILNIUS LT","ĮNEŠIMAS 5167934001741345 17.08.20 10:52 10.00 EUR (538922) H856/HB VIRSULISKIU 42>VILNIUS LT","3.00",
"33","2020-08-20","maxima","maxima","-5.44",
"34","2020-10-04","UAB PAYSERA LT","R398591177 Užsakymo nr: nk-155 https://nepatoguskinas.lt projekte. (Pardavėjas: Nepatogus kinas), dok. nr. 398591177, unik. mokėj. kodas 3985911774, operacijos nr.  RO259419903","-0.03",
"35","2020-10-04","asdfasdf","Papildymas, dok. nr. 274026645, operacijos nr.  RD110783289","-0.47",
"36","2020-10-04","SEB bankas","1459916-JAUNIMAS paslaugų planas  - mėnesio mokestis už rugsėjo mėn., operacijos nr.  RO258859090","-0.05",
"37","2020-10-03","RIMI JERUZALES G. 4","02/10/2020 15:55 kortelė...080024 RIMI JERUZALES G. 4/VI #257314, dok. nr. CLR926928, operacijos nr.  RO258356361","-5.22",
"38","2020-10-01","RIMI JERUZALES G. 4","30/09/2020 20:35 kortelė...080024 RIMI JERUZALES G. 4/VI #074138, dok. nr. CLR917591, operacijos nr.  RO257026061","-7.09",
"39","2020-09-29","asdfasdf","Vinted prekė, dok. nr. 268280115, operacijos nr.  RD110531590","-0.85",
"40","2020-09-27","RIMI JERUZALES G. 4","26/09/2020 08:05 kortelė...080024 RIMI JERUZALES G. 4/VI #629167, dok. nr. CLR896047, operacijos nr.  RO253663573","-2.64",
"41","2020-09-26","MAXIMA LT, X-586\ZALIUJU EZERU G. 207\VILNIUS\UNKNOWN      LTU","25/09/2020 18:52 kortelė...080024 MAXIMA LT, X-586\ZALIU #567985, dok. nr. CLR895985, operacijos nr.  RO253300314","-8.31",
"42","2020-09-25","asdfasdf","Papildymas, dok. nr. 103, operacijos nr.  RO252751490","1.4",
"43","2020-09-21","REITAN VILNIUS        \LAISVES PR. 58            \VILNIUS      \05120     LTULTU","19/09/2020 13:50  kortelė...080024 REITAN VILNIUS/VILNIUS/LTU #949839, dok. nr. CLR875671, operacijos nr.  RO249966759","-0.25",
"44","2020-09-20","RIMI JERUZALES G. 4","19/09/2020 17:30 kortelė...080024 RIMI JERUZALES G. 4/VI #963062, dok. nr. CLR865328, operacijos nr.  RO248778510","-9.79",
"45","2020-09-17","RIMI JERUZALES G. 4","16/09/2020 14:37 kortelė...080024 RIMI JERUZALES G. 4/VI #652689, dok. nr. CLR855689, operacijos nr.  RO246938507","-17.05",
"46","2020-09-15","MAXIMA LT, X-522\Minties g. 58\Vilnius\UNKNOWN      LTU","14/09/2020 10:45 kortelė...080024 MAXIMA LT, X-522\Minti #438741, dok. nr. CLR846136, operacijos nr.  RO245440524","-5.88",
"47","2020-09-15","asdfasdf","Mokėjimas taupymo tikslui: First amount, operacijos nr.  RO245394920","-1",
"48","2020-09-11","UAB RIDE SHARE\A.Tumeno str 4\Vilnius\10000     LTULTU","11/09/2020 08:29  kortelė...080024 UAB RIDE SHARE/Vilnius/LTU #134113, dok. nr. CLR834032, operacijos nr.  RO242910408","-0.1",
"49","2020-09-11","UAB ALFA KLASĖ","Darbo užmokestis už rugpjūčio mėnesį, unik. mokėj. kodas NOTPROVIDED, mok. ident. kodas 304458425, operacijos nr.  RO242712642","99.82",
"50","2020-10-06","1 MOKĖTOJO ARBA GAVĖJO PAVADINIMAS","1 paskirtis","-0.15",
"51","2020-10-05","2 MOKĖTOJO ARBA GAVĖJO PAVADINIMAS","2 paskirtis","-200",
